id_transaccion,id_cliente,nombre_cliente,cuenta_origen,fecha,monto,divisa,tipo_transaccion,ciudad,cuenta_destino,categoria_comercio
69,4198,Stephanie Sanders,ES75154735015095569058,29/04/2025,1301.4,EUR,retiro,Leon,,
70,6869,Sherri Kelley,ES97229883372086908084,17/05/2025,13109.26,USD,transferencia,Leon,ES44141037780405382349,
71,4003,Lisa Smith,ES66776760734583232137,27/05/2025,26645.21,MXN,transferencia,Guadalajara,ES80929826882726550635,
72,4690,Robert Garcia,ES15385736729404568978,10/05/2025,26060.4,USD,transferencia,Juarez,ES21902337320064603700,
73,3871,Diane Jones,ES51063147120395318011,22/04/2025,22013.75,MXN,transferencia,Leon,ES13305578746856601194,
74,5786,Terri Garner,ES93588345584767512314,25/08/2025,23554.64,MXN,transferencia,Torreon,ES89204149950794300932,
75,3508,Thomas Brady,ES56609549494215015234,18/05/2025,13206.13,USD,retiro,CDMX,,
76,7881,Jasmine Perez,ES53586066909184591985,10/06/2025,9615.24,MXN,transferencia,Tijuana,ES30789201479311213685,
77,2875,Andrew Myers,ES86248413267310968831,30/05/2025,28627.9,EUR,transferencia,Torreon,ES30342393952148967999,
78,3936,Jack Waters,ES96563603506844425082,21/05/2025,25799.25,EUR,transferencia,CDMX,ES69929882517933458449,
79,5700,Glenda Hobbs,ES64504421753963376305,02/09/2025,15649.1,EUR,retiro,Juarez,,
80,5676,Beth Cobb,ES24847652620208969023,04/08/2025,34318.03,MXN,retiro,Guadalajara,,
81,3474,Jacob Hogan,ES21646412693104295314,01/05/2025,34648.13,MXN,retiro,CDMX,,
82,4041,Jesse Haley,ES24466833169075235511,03/08/2025,38341.71,MXN,compra,Brasil,,tecnologia
83,2550,Timothy Frye,ES86456766519704333519,17/06/2025,38845.72,EUR,compra,Leon,,restaurante
84,9388,Samantha Hart,ES28095323338750367084,22/05/2025,10887.99,USD,compra,CDMX,,tecnologia
85,8320,Marie Nunez,ES77672669654698313291,03/04/2025,22969.05,MXN,transferencia,Leon,ES48998517065657165073,
86,4820,Angela Evans,ES56172417174400792044,23/07/2025,15959.64,MXN,retiro,CDMX,,
87,4874,Bradley Ramsey,ES23034803429989829461,21/06/2025,10399.09,EUR,transferencia,CDMX,ES10321890576827607294,
88,6962,Barbara James,ES23012139391175444582,26/07/2025,47719.95,USD,transferencia,Merida,ES29978976510002029034,
89,2673,Robert Osborn Jr.,ES86369390599625894212,16/08/2025,39803.12,USD,compra,Puebla,,restaurante
90,8852,Kevin Thomas DDS,ES11364208293767173404,12/09/2025,2506.04,MXN,transferencia,Tijuana,ES90552170419181548814,
91,6339,William Clark,ES34756083356348008838,21/04/2025,39796.64,MXN,retiro,Torreon,,
92,8017,Amy Gilbert,ES69034177691366249465,27/04/2025,29494.52,MXN,transferencia,Juarez,ES19763579754379828186,
93,4773,Terry Berry,ES77362493124357601604,06/07/2025,38769.7,USD,compra,Guadalajara,,restaurante
94,2270,Jason Hernandez,ES24753807879839123092,20/09/2025,15133.99,USD,compra,Juarez,,ropa
95,9445,Mark Davis,ES47938320736290596250,17/05/2025,9216.82,USD,compra,Guadalajara,,tecnologia
96,3277,Michael Valencia,ES38222574107633666353,09/06/2025,1234.1,USD,retiro,Queretaro,,
97,8407,Yvette Velasquez,ES81184679714057671583,28/05/2025,3217.81,USD,transferencia,Queretaro,ES80793108646986615424,
98,7347,Scott Sandoval,ES10713450602137514641,20/07/2025,17721.79,EUR,compra,Merida,,viajes
99,4093,Dr. Jeanette Saunders,ES88398933009553705496,24/06/2025,19961.95,USD,retiro,Torreon,,
100,1009,Misty Jones,ES64026446627330987120,06/04/2025,18067.84,USD,compra,Merida,,restaurante
101,1734,Jimmy Thompson,ES78047865374613121842,04/07/2025,48746.83,MXN,transferencia,Queretaro,ES46631625029906710717,
102,7285,Gabrielle Bridges,ES93810395879187821317,09/06/2025,46821.66,MXN,compra,Queretaro,,tecnologia
103,6641,Jeffery Simon,ES97825573873900701716,03/05/2025,3763.84,USD,compra,Puebla,,servicios
104,8565,Matthew Francis,ES43387150341182529679,19/04/2025,29453.53,EUR,transferencia,Merida,ES68806743949762266392,
105,7492,Carmen Miller,ES50420889218458513241,01/04/2025,48942.15,MXN,compra,Leon,,restaurante
106,3213,Stephen Bell,ES58336020048886298994,06/04/2025,28032.53,MXN,retiro,Monterrey,,
107,4357,Miranda Nelson,ES18309166217781161272,20/06/2025,47729.27,MXN,transferencia,CDMX,ES89119982317784926855,
108,8151,Deborah Robinson,ES48325873939968102225,06/09/2025,757.89,MXN,compra,Guadalajara,,tecnologia
109,1320,Mr. Adam Johnson,ES76111398225144050529,27/08/2025,27116.34,EUR,retiro,Guadalajara,,
110,4953,John Miller,ES57553332531374501331,04/08/2025,24174.64,MXN,retiro,Queretaro,,
111,6913,Shawna Rich,ES51853501526614131046,13/09/2025,15233.87,MXN,compra,Puebla,,supermercado
112,5865,Jennifer Rosario,ES56395422993781174602,23/05/2025,27657.18,USD,transferencia,Tijuana,ES88881039423435575359,
113,4941,Amanda Romero,ES28739284988509610660,26/04/2025,17973.7,MXN,transferencia,Juarez,ES42117838571345600880,
114,1063,Jane Carson,ES36869594441484904868,19/05/2025,21264.54,EUR,compra,Merida,,supermercado
115,8890,Jeremy Cardenas,ES93489304789542964894,27/06/2025,47558.55,EUR,retiro,Leon,,
116,4054,Raymond Ramos,ES16971359635042304929,24/05/2025,45680.26,MXN,compra,Merida,,supermercado
117,5264,Joshua Rodriguez,ES71271947310703392045,26/06/2025,45252.41,EUR,compra,Guadalajara,,tecnologia
118,6191,Megan Johnson,ES51335815622452741606,26/04/2025,15976.29,USD,compra,Torreon,,ropa
119,1097,Tammy Browning,ES44536246478019924266,02/08/2025,8682.14,MXN,retiro,Monterrey,,
120,3742,Adriana Gill MD,ES20140088921591197528,31/05/2025,23012.01,MXN,retiro,Juarez,,
121,8855,Jerry Johnson,ES46363247089295014307,23/04/2025,10385.69,MXN,retiro,Merida,,
122,3698,William Stout,ES43901471561314654953,04/08/2025,30395.34,USD,transferencia,Leon,ES21530644989334609141,
123,1360,Mark Mitchell,ES52198082905981811922,28/08/2025,33321.18,MXN,transferencia,Puebla,ES16448730863809368426,
124,4912,Christy Gonzalez,ES51727957142659810489,07/08/2025,45177.77,USD,transferencia,CDMX,ES30413270375759180452,
125,9624,Stephanie Donovan,ES11762319400137209516,18/04/2025,22360.19,MXN,transferencia,Guadalajara,ES51116628923770563181,
126,8889,Mrs. Shelly Tucker,ES63602806034594625685,08/07/2025,40003.07,MXN,compra,Puebla,,restaurante
127,4937,Scott Martin,ES80981071255381077808,14/08/2025,12207.07,USD,compra,Tijuana,,servicios
128,6197,Taylor Walker,ES80756238308805224781,29/03/2025,9940.02,USD,transferencia,Juarez,ES56337823287568351698,
129,8098,Julie Martinez,ES99614299871046615218,30/07/2025,1488.12,EUR,retiro,Merida,,
130,9552,Brandon Bird,ES59320028706901236449,25/04/2025,42934.78,EUR,transferencia,Queretaro,ES11255595328750780616,
131,4683,Robert Donaldson,ES56944212832443422585,19/09/2025,37798.62,USD,transferencia,Guadalajara,ES44828788514060797475,
132,1100,Mark Rojas,ES58491852838525883979,11/06/2025,49024.83,USD,compra,Queretaro,,viajes
133,5728,Jennifer Carter,ES99694448647384498522,13/09/2025,8595.73,EUR,retiro,Torreon,,
134,3501,Rachael Bolton,ES77855467576684448935,17/06/2025,40497.93,MXN,transferencia,Tijuana,ES53185025948726625794,
135,3218,Jessica Campbell,ES15187963232751905395,02/09/2025,1367.77,USD,transferencia,Torreon,ES34118371370879225140,
136,2456,Kevin Matthews,ES78430986682055835940,28/03/2025,30047.6,EUR,compra,CDMX,,supermercado
137,7379,Thomas Cervantes,ES59018927834726607467,20/05/2025,8542.6,MXN,transferencia,Juarez,ES63002566539973261019,
138,4872,Mark Hunt,ES88430669679921628284,29/08/2025,27517.08,MXN,compra,Merida,,viajes
139,5598,Stephanie Crawford,ES66397862478999423760,26/06/2025,20864.59,USD,retiro,Guadalajara,,
140,4016,Christine Garcia,ES18818549907261868119,27/07/2025,42270.17,USD,retiro,Merida,,
141,9361,Gary Lewis,ES59290023153875340580,16/06/2025,32728.31,EUR,retiro,CDMX,,
142,9325,Tracy Dunn,ES19625839921824290416,06/08/2025,15821.6,MXN,transferencia,Queretaro,ES83789918921846930952,
143,9096,Bill Lamb,ES86973864016539759195,15/06/2025,9275.13,USD,retiro,Merida,,
144,3059,Pamela Robbins,ES18900962991967034369,16/09/2025,14922.73,MXN,compra,Tijuana,,viajes
145,3173,John Moran,ES70539319641821403128,12/04/2025,24056.17,USD,retiro,Torreon,,
146,5301,Spencer Coffey,ES63893785454690661167,10/04/2025,28334.61,MXN,transferencia,Guadalajara,ES98627094336813888206,
147,7613,Martha Morton,ES67220398983216653624,13/08/2025,10450.84,USD,compra,CDMX,,tecnologia
148,8301,Jennifer Jimenez,ES14109605960791628664,23/05/2025,29505.08,USD,retiro,Guadalajara,,
149,8517,Chad Garner,ES67276971700573047346,30/07/2025,34019.39,USD,transferencia,Puebla,ES57489954936717044436,
150,7783,Nathaniel Smith,ES24509872801666514095,27/06/2025,9037.73,EUR,transferencia,Merida,ES82985641389901604957,
151,7641,Ashlee Brown,ES26372488784685267254,01/09/2025,6434.23,MXN,compra,Puebla,,servicios
152,1556,Nicole Blair,ES83690781662920254161,22/04/2025,13329.34,EUR,compra,Barcelona,,supermercado
153,9096,Dustin Martin,ES34911981891028787125,27/06/2025,29815.48,EUR,retiro,Guadalajara,,
154,8180,Sarah Scott,ES99725377935692525722,15/09/2025,5727.17,EUR,compra,Torreon,,restaurante
155,4156,Morgan Adams,ES13632634585916637303,17/09/2025,44043.61,USD,compra,Leon,,tecnologia
156,9548,Anthony Jenkins,ES46485684930851030938,07/06/2025,10506.97,USD,compra,Tijuana,,supermercado
157,9794,Gina Anderson,ES90476600411370405789,03/07/2025,10603.18,USD,transferencia,Queretaro,ES33565861661178626184,
158,1130,Emily Jackson,ES33825593697560190514,06/08/2025,43669.04,MXN,retiro,Juarez,,
159,1019,David Powell,ES18378453683131759880,15/09/2025,34791.12,USD,compra,Monterrey,,restaurante
160,6830,Cory Taylor,ES70031458414955533020,03/07/2025,46815.87,EUR,retiro,Monterrey,,
161,7726,Jennifer Cooper,ES18650102338169163184,03/07/2025,38423.13,MXN,compra,Torreon,,supermercado
162,6022,Haley Robinson,ES85683912767217180659,01/08/2025,36865.6,USD,retiro,Monterrey,,
163,1444,Tasha Miller,ES33302775781369215332,23/04/2025,49117.49,EUR,retiro,Guadalajara,,
164,4440,Michelle Zimmerman,ES71447058447401242290,10/09/2025,44188.74,USD,transferencia,Guadalajara,ES24194624161358667584,
165,1419,Michael Saunders,ES56441205432070380173,08/04/2025,2909.34,USD,transferencia,Guadalajara,ES54269869358539915399,
166,9627,Joshua Buchanan,ES55415319700529309996,08/09/2025,1918.71,MXN,compra,Leon,,restaurante
167,8517,Lori Owens,ES80656437646657670729,30/07/2025,2674.08,EUR,compra,Merida,,ropa
168,9501,Nicole Vincent,ES51681172974700672099,29/08/2025,7760.18,MXN,transferencia,Tijuana,ES59134211587341099892,
169,3359,James Sanchez DDS,ES21197486848735074886,04/07/2025,33259.25,MXN,compra,CDMX,,supermercado
170,4150,Tonya Kaiser,ES81603479879180425408,16/04/2025,8615.92,USD,retiro,Puebla,,
171,2210,Sierra Harrison,ES40719619205598242352,07/09/2025,41071.98,USD,compra,Puebla,,tecnologia
172,2435,Patricia Robinson,ES66419453190914248191,03/08/2025,24256.31,EUR,compra,Puebla,,servicios
173,8103,Robert Duke,ES57716831139440717541,18/09/2025,42938.86,EUR,transferencia,Leon,ES54224758152432587128,
174,8757,James Chen,ES95388993916179764713,04/08/2025,39976.83,MXN,retiro,Puebla,,
175,2031,Debra Olson,ES23903537123413931744,21/09/2025,46942.04,EUR,compra,Monterrey,,supermercado
176,5238,Dawn Bryant,ES73922309927682801247,15/07/2025,31795.17,MXN,transferencia,Torreon,ES63946534236862821531,
177,2939,David Hall,ES72614379022174129878,18/04/2025,25286.26,USD,retiro,Juarez,,
178,1285,Roy Parker,ES10009685551185769809,05/04/2025,3671.92,MXN,retiro,Puebla,,
179,6231,Linda Mercer,ES27945201174426766264,15/06/2025,23407.92,EUR,compra,CDMX,,viajes
180,7851,Brian Diaz,ES73103041153419010860,11/06/2025,45312.43,EUR,compra,Torreon,,tecnologia
181,3845,Austin Taylor,ES38382945786637318435,01/05/2025,5345.58,EUR,retiro,Puebla,,
182,8594,Katelyn Tran,ES60362173861452778103,31/07/2025,9605.27,USD,retiro,Los Angeles,,
183,4815,Brooke Stark,ES33478794179011155164,16/05/2025,19638.54,EUR,retiro,Tijuana,,
184,3836,Michael Lutz,ES56292012332708026437,28/03/2025,22600.81,USD,compra,Queretaro,,viajes
185,2215,Jacob Wright,ES91550611805064979742,29/08/2025,27675.21,MXN,transferencia,Guadalajara,ES38540011229115821725,
186,9984,Robert King,ES70255838941288127486,04/08/2025,21693.48,EUR,retiro,Tijuana,,
187,6966,Bryan Myers,ES86915535700243576875,27/05/2025,48525.88,USD,transferencia,Merida,ES40868868855769048356,
188,5873,Scott Mitchell,ES60221890649207632796,16/09/2025,14350.45,MXN,transferencia,Merida,ES39540933231335197228,
189,7769,Jesse Coleman,ES68746612785978673182,01/05/2025,35785.63,MXN,transferencia,Juarez,ES11656152083629116574,
190,3259,Antonio Griffin,ES11871065164105194393,09/06/2025,9343.84,MXN,transferencia,Guadalajara,ES46977080891416288070,
191,9773,Jordan Yoder,ES45501289027819365899,04/04/2025,2761.9,USD,compra,Tijuana,,tecnologia
192,7421,Leslie Rodriguez,ES61099323944964461054,01/09/2025,28776.67,USD,transferencia,Monterrey,ES96168722119008638676,
193,7586,Louis Crosby,ES40453768664175935805,01/07/2025,30225.49,MXN,retiro,Puebla,,
194,4780,Bradley Allen,ES50471376581663681926,24/04/2025,21834.36,USD,retiro,Leon,,
195,6124,Colin Price,ES15004997166560138445,16/04/2025,11202.09,MXN,transferencia,Monterrey,ES48968896611054455551,
196,7751,Jill Gonzalez,ES12467606498412102938,23/09/2025,21008.54,USD,transferencia,Leon,ES13807939803878004696,
197,6369,Mr. Elijah Campbell,ES73916142778823845216,16/04/2025,3243.29,EUR,compra,Torreon,,servicios
198,9183,Keith Bailey,ES49855204235246523216,05/04/2025,27175.62,MXN,compra,Leon,,restaurante
199,1661,Shelley Campos,ES64381725287014130243,25/04/2025,10598.45,EUR,transferencia,Queretaro,ES73015328608203844668,
200,4420,Debbie Perkins,ES54708258330448313874,20/04/2025,47135.96,MXN,retiro,Puebla,,
201,4790,James Vargas,ES30600444940227044652,12/05/2025,30288.73,EUR,retiro,Monterrey,,
202,4663,Mark Jacobs,ES95939680044765182198,05/07/2025,10444.33,USD,transferencia,Puebla,ES48716912998562216484,
203,6049,Robert Fletcher,ES96300594906061212509,14/06/2025,3673.01,MXN,retiro,CDMX,,
204,3894,Kara Cook,ES40217270836442600354,08/05/2025,20043.38,USD,transferencia,Merida,ES53572437185425423416,
205,9859,Edwin Morrison,ES97634772008212035305,05/06/2025,10423.35,MXN,transferencia,Tijuana,ES34725757302612787806,
206,3476,Laura Fowler,ES11283530212331023967,22/08/2025,47900.97,EUR,retiro,Merida,,
207,7421,Erin Wolfe,ES46965581943078257839,29/08/2025,4453.23,EUR,retiro,Monterrey,,
208,4866,Joanna Flores,ES40068931531632389141,05/05/2025,3685.17,EUR,compra,Juarez,,servicios
209,1512,Noah Davis,ES67528477591288453703,04/05/2025,27014.86,EUR,compra,Merida,,servicios
210,6746,Shannon Herrera DDS,ES57350856519362875339,11/09/2025,16628.89,EUR,retiro,Queretaro,,
211,7079,David Cannon,ES55347355073963146225,13/08/2025,33611.27,EUR,transferencia,Merida,ES45517267243408230742,
212,5193,Jennifer Wilson,ES10923022164970909847,15/08/2025,23407.6,EUR,compra,Torreon,,restaurante
213,1067,Emily Hunter,ES52813953859043300303,04/09/2025,22233.52,USD,transferencia,Puebla,ES67796341167574000517,
214,5462,Alicia Simon,ES79314883701874317212,01/05/2025,4415.92,USD,transferencia,Merida,ES43963136289774850474,
215,4646,Ashley Freeman,ES86561330865771380349,17/08/2025,1407.38,USD,retiro,Tijuana,,
216,2783,Daniel Wilson,ES16712027859752708408,11/04/2025,28280.1,USD,transferencia,Puebla,ES38460857737742175214,
217,9178,Jim Smith,ES13710285522667663820,21/06/2025,28995.2,EUR,transferencia,Tijuana,ES79468843192445754744,
218,6799,Randy Stephens,ES34410686147872765310,29/07/2025,15148.73,MXN,transferencia,Queretaro,ES23504078980422341091,
219,7230,Mary Perry,ES86818609393232695637,07/06/2025,37447.54,USD,retiro,Leon,,
220,2557,Sarah Gentry,ES87788469813825756995,14/08/2025,49063.91,MXN,retiro,CDMX,,
221,7486,Fred Howard,ES87701577881658041669,08/05/2025,35583.4,MXN,transferencia,Merida,ES90771403372922514980,
222,6970,Jose Johnston,ES22804134254660089308,31/03/2025,3196.42,EUR,compra,Sidney,,tecnologia
223,9169,Cassandra Harris,ES44184569720346519092,12/07/2025,31174.73,MXN,retiro,Queretaro,,
224,6696,Jamie Thomas,ES30513388026042341860,29/07/2025,23203.22,USD,transferencia,Monterrey,ES59998470360067658139,
225,1301,John Green,ES40589444006009555053,11/09/2025,47257.73,EUR,compra,Leon,,ropa
226,8610,Danielle Archer,ES11625916014582849378,04/05/2025,29606.27,USD,compra,Torreon,,restaurante
227,4150,Alicia Watson,ES74533092039298998040,08/09/2025,15322.03,MXN,retiro,Guadalajara,,
228,9929,Lori Johnston,ES50533783096279727770,21/07/2025,21316.63,MXN,transferencia,CDMX,ES50880298707836754657,
229,3663,Richard Wolf,ES42884290330221704559,24/05/2025,14407.87,USD,retiro,Juarez,,
230,2382,Eric Oconnor,ES97090415628651708006,09/08/2025,11687.01,EUR,transferencia,CDMX,ES19228777749568570330,
231,8476,Monica Soto,ES11128956276069475836,19/09/2025,10345.48,USD,transferencia,Leon,ES87072747753132943452,
232,3647,Andrew Mclaughlin,ES17518067732841926831,28/04/2025,35789.06,USD,compra,Leon,,viajes
233,4052,Ashley Roberts,ES80754921402139429145,18/07/2025,11032.75,USD,transferencia,Guadalajara,ES86061523073599420766,
234,8932,Brendan Moody,ES37259132499416865970,19/06/2025,14389.69,USD,retiro,Queretaro,,
235,6509,Jerry Wright,ES63805787740140827744,30/06/2025,339.38,USD,retiro,CDMX,,
236,7324,Kathy Carter,ES33188166219677781233,04/07/2025,7351.82,USD,compra,Puebla,,ropa
237,3303,Dr. Cynthia Dougherty,ES57295456723114501056,15/04/2025,15804.18,USD,transferencia,Queretaro,ES89852957765017462307,
238,9063,Lee Wright,ES93251974356357378811,03/09/2025,12943.36,EUR,transferencia,Guadalajara,ES24161907945609715358,
239,2931,Nicole Vega,ES72705152050290070942,08/08/2025,32814.3,USD,retiro,Juarez,,
240,6007,Jeffery Garza,ES50667738686339782626,14/07/2025,10992.12,MXN,compra,Juarez,,supermercado
241,4195,Vanessa Jones,ES43502030616307847852,18/04/2025,30399.57,EUR,retiro,Guadalajara,,
242,1261,Marcus Dixon,ES54052267751167068541,11/05/2025,44904.79,MXN,transferencia,Puebla,ES22732706872419341678,
243,5332,Mrs. Allison Carr,ES95691843920491777409,06/09/2025,5021.45,MXN,transferencia,Queretaro,ES95668513314406224626,
244,4888,Emily Torres,ES89829729015379620112,09/08/2025,9665.26,USD,retiro,Puebla,,
245,5937,Jacob Kemp,ES41289969858133507169,27/04/2025,28899.83,USD,compra,Merida,,supermercado
246,7606,Nancy Ortiz,ES38443878154642023647,28/03/2025,32557.66,MXN,compra,CDMX,,restaurante
247,3125,Cassandra Obrien,ES88018501872783662207,04/05/2025,48938.75,EUR,transferencia,Merida,ES70889747805484515450,
248,6226,Gary Dickson,ES19509862854810861548,23/07/2025,6167.55,USD,transferencia,Merida,ES78083492010662996615,
249,6338,Jack Miller,ES85157998537350792830,22/09/2025,9823.65,USD,retiro,Tijuana,,
250,3274,Sean Hughes,ES36914402034082095933,01/05/2025,2083.16,USD,compra,Juarez,,servicios
251,4259,Ruben Contreras,ES74178782324929478743,12/04/2025,42947.62,EUR,compra,Torreon,,tecnologia
252,5360,Kyle Watson,ES94753927535418183848,16/07/2025,11979.31,EUR,retiro,Monterrey,,
